#timPSTamp,	constant_power_A,constant_power_B,constant_power_C
2017-11-03 00:00:00,1567.38+663.17j,1567.38+663.17j,1567.38+663.17j
2017-11-03 00:10:00,1532.78+655.48j,1532.78+655.48j,1532.78+655.48j
2017-11-03 00:20:00,1498.18+647.79j,1498.18+647.79j,1498.18+647.79j
2017-11-03 00:30:00,1464.16+640.1j,1464.16+640.1j,1464.16+640.1j
2017-11-03 00:40:00,1429.56+632.41j,1429.56+632.41j,1429.56+632.41j
2017-11-03 00:50:00,1394.96+624.72j,1394.96+624.72j,1394.96+624.72j
2017-11-03 01:00:00,1360.93+617.03j,1360.93+617.03j,1360.93+617.03j
2017-11-03 01:10:00,1342.48+616.07j,1342.48+616.07j,1342.48+616.07j
2017-11-03 01:20:00,1324.03+615.11j,1324.03+615.11j,1324.03+615.11j
2017-11-03 01:30:00,1306.15+614.15j,1306.15+614.15j,1306.15+614.15j
2017-11-03 01:40:00,1287.7+613.19j,1287.7+613.19j,1287.7+613.19j
2017-11-03 01:50:00,1269.24+612.23j,1269.24+612.23j,1269.24+612.23j
2017-11-03 02:00:00,1251.37+611.27j,1251.37+611.27j,1251.37+611.27j
2017-11-03 02:10:00,1244.45+614.15j,1244.45+614.15j,1244.45+614.15j
2017-11-03 02:20:00,1237.53+617.03j,1237.53+617.03j,1237.53+617.03j
2017-11-03 02:30:00,1231.18+619.92j,1231.18+619.92j,1231.18+619.92j
2017-11-03 02:40:00,1224.26+622.8j,1224.26+622.8j,1224.26+622.8j
2017-11-03 02:50:00,1217.34+625.68j,1217.34+625.68j,1217.34+625.68j
2017-11-03 03:00:00,1211+628.57j,1211+628.57j,1211+628.57j
2017-11-03 03:10:00,1216.19+630.49j,1216.19+630.49j,1216.19+630.49j
2017-11-03 03:20:00,1222.53+632.41j,1222.53+632.41j,1222.53+632.41j
2017-11-03 03:30:00,1228.3+634.33j,1228.3+634.33j,1228.3+634.33j
2017-11-03 03:40:00,1233.49+636.25j,1233.49+636.25j,1233.49+636.25j
2017-11-03 03:50:00,1239.83+638.18j,1239.83+638.18j,1239.83+638.18j
2017-11-03 04:00:00,1245.6+640.1j,1245.6+640.1j,1245.6+640.1j
2017-11-03 04:10:00,1243.29+638.18j,1243.29+638.18j,1243.29+638.18j
2017-11-03 04:20:00,1241.56+636.25j,1241.56+636.25j,1241.56+636.25j
2017-11-03 04:30:00,1239.83+634.33j,1239.83+634.33j,1239.83+634.33j
2017-11-03 04:40:00,1237.53+632.41j,1237.53+632.41j,1237.53+632.41j
2017-11-03 04:50:00,1235.8+630.49j,1235.8+630.49j,1235.8+630.49j
2017-11-03 05:00:00,1234.07+628.57j,1234.07+628.57j,1234.07+628.57j
2017-11-03 05:10:00,1245.6+624.72j,1245.6+624.72j,1245.6+624.72j
2017-11-03 05:20:00,1257.13+620.88j,1257.13+620.88j,1257.13+620.88j
2017-11-03 05:30:00,1268.67+617.03j,1268.67+617.03j,1268.67+617.03j
2017-11-03 05:40:00,1280.2+613.19j,1280.2+613.19j,1280.2+613.19j
2017-11-03 05:50:00,1291.73+609.35j,1291.73+609.35j,1291.73+609.35j
2017-11-03 06:00:00,1303.27+605.5j,1303.27+605.5j,1303.27+605.5j
2017-11-03 06:10:00,1299.23+602.62j,1299.23+602.62j,1299.23+602.62j
2017-11-03 06:20:00,1295.19+599.73j,1295.19+599.73j,1295.19+599.73j
2017-11-03 06:30:00,1291.73+596.85j,1291.73+596.85j,1291.73+596.85j
2017-11-03 06:40:00,1287.7+593.97j,1287.7+593.97j,1287.7+593.97j
2017-11-03 06:50:00,1283.66+591.08j,1283.66+591.08j,1283.66+591.08j
2017-11-03 07:00:00,1280.2+588.2j,1280.2+588.2j,1280.2+588.2j
2017-11-03 07:10:00,1235.8+588.2j,1235.8+588.2j,1235.8+588.2j
2017-11-03 07:20:00,1191.39+588.2j,1191.39+588.2j,1191.39+588.2j
2017-11-03 07:30:00,1147.57+588.2j,1147.57+588.2j,1147.57+588.2j
2017-11-03 07:40:00,1103.16+588.2j,1103.16+588.2j,1103.16+588.2j
2017-11-03 07:50:00,1058.76+588.2j,1058.76+588.2j,1058.76+588.2j
2017-11-03 08:00:00,1014.93+588.2j,1014.93+588.2j,1014.93+588.2j
2017-11-03 08:10:00,1041.46+576.67j,1041.46+576.67j,1041.46+576.67j
2017-11-03 08:20:00,1068.56+565.13j,1068.56+565.13j,1068.56+565.13j
2017-11-03 08:30:00,1095.67+553.6j,1095.67+553.6j,1095.67+553.6j
2017-11-03 08:40:00,1122.19+542.07j,1122.19+542.07j,1122.19+542.07j
2017-11-03 08:50:00,1149.3+530.53j,1149.3+530.53j,1149.3+530.53j
2017-11-03 09:00:00,1176.4+519j,1176.4+519j,1176.4+519j
2017-11-03 09:10:00,1148.14+506.51j,1148.14+506.51j,1148.14+506.51j
2017-11-03 09:20:00,1120.46+494.01j,1120.46+494.01j,1120.46+494.01j
2017-11-03 09:30:00,1092.78+481.52j,1092.78+481.52j,1092.78+481.52j
2017-11-03 09:40:00,1064.53+469.03j,1064.53+469.03j,1064.53+469.03j
2017-11-03 09:50:00,1036.85+456.52j,1036.85+456.52j,1036.85+456.52j
2017-11-03 10:00:00,1009.17+444.03j,1009.17+444.03j,1009.17+444.03j
2017-11-03 10:10:00,1017.82+441.15j,1017.82+441.15j,1017.82+441.15j
2017-11-03 10:20:00,1026.47+438.27j,1026.47+438.27j,1026.47+438.27j
2017-11-03 10:30:00,1035.12+435.38j,1035.12+435.38j,1035.12+435.38j
2017-11-03 10:40:00,1043.77+432.5j,1043.77+432.5j,1043.77+432.5j
2017-11-03 10:50:00,1052.42+429.62j,1052.42+429.62j,1052.42+429.62j
2017-11-03 11:00:00,1061.07+426.73j,1061.07+426.73j,1061.07+426.73j
2017-11-03 11:10:00,1055.88+431.54j,1055.88+431.54j,1055.88+431.54j
2017-11-03 11:20:00,1051.26+436.34j,1051.26+436.34j,1051.26+436.34j
2017-11-03 11:30:00,1046.65+441.15j,1046.65+441.15j,1046.65+441.15j
2017-11-03 11:40:00,1041.46+445.96j,1041.46+445.96j,1041.46+445.96j
2017-11-03 11:50:00,1036.85+450.76j,1036.85+450.76j,1036.85+450.76j
2017-11-03 12:00:00,1032.23+455.57j,1032.23+455.57j,1032.23+455.57j
2017-11-03 12:10:00,1038+453.65j,1038+453.65j,1038+453.65j
2017-11-03 12:20:00,1043.77+451.72j,1043.77+451.72j,1043.77+451.72j
2017-11-03 12:30:00,1049.53+449.8j,1049.53+449.8j,1049.53+449.8j
2017-11-03 12:40:00,1055.3+447.88j,1055.3+447.88j,1055.3+447.88j
2017-11-03 12:50:00,1061.07+445.95j,1061.07+445.95j,1061.07+445.95j
2017-11-03 13:00:00,1066.83+444.03j,1066.83+444.03j,1066.83+444.03j
2017-11-03 13:10:00,1091.63+446.92j,1091.63+446.92j,1091.63+446.92j
2017-11-03 13:20:00,1116.43+449.8j,1116.43+449.8j,1116.43+449.8j
2017-11-03 13:30:00,1141.8+452.68j,1141.8+452.68j,1141.8+452.68j
2017-11-03 13:40:00,1166.6+455.57j,1166.6+455.57j,1166.6+455.57j
2017-11-03 13:50:00,1191.39+458.45j,1191.39+458.45j,1191.39+458.45j
2017-11-03 14:00:00,1216.77+461.33j,1216.77+461.33j,1216.77+461.33j
2017-11-03 14:10:00,1215.61+457.49j,1215.61+457.49j,1215.61+457.49j
2017-11-03 14:20:00,1214.46+453.65j,1214.46+453.65j,1214.46+453.65j
2017-11-03 14:30:00,1213.88+449.8j,1213.88+449.8j,1213.88+449.8j
2017-11-03 14:40:00,1212.73+445.95j,1212.73+445.95j,1212.73+445.95j
2017-11-03 14:50:00,1211.58+442.11j,1211.58+442.11j,1211.58+442.11j
2017-11-03 15:00:00,1211+438.27j,1211+438.27j,1211+438.27j
2017-11-03 15:10:00,1212.73+445j,1212.73+445j,1212.73+445j
2017-11-03 15:20:00,1214.46+451.72j,1214.46+451.72j,1214.46+451.72j
2017-11-03 15:30:00,1216.77+458.45j,1216.77+458.45j,1216.77+458.45j
2017-11-03 15:40:00,1218.5+465.18j,1218.5+465.18j,1218.5+465.18j
2017-11-03 15:50:00,1220.23+471.9j,1220.23+471.9j,1220.23+471.9j
2017-11-03 16:00:00,1222.53+478.63j,1222.53+478.63j,1222.53+478.63j
2017-11-03 16:10:00,1240.41+478.63j,1240.41+478.63j,1240.41+478.63j
2017-11-03 16:20:00,1258.86+478.63j,1258.86+478.63j,1258.86+478.63j
2017-11-03 16:30:00,1277.32+478.63j,1277.32+478.63j,1277.32+478.63j
